Date,Code,Description,Unit of Measure,Value
1999/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.16
1999/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.12
1999/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.8
1999/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.23
1999/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.95
2000/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.43
2000/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.31
2000/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.75
2000/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.09
2000/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.62
2000/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.2
2000/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.7
2000/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.22
2000/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.42
2000/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.34
2000/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.05
2000/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.57
2001/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.61
2001/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,11.94
2001/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,11.82
2001/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.14
2001/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,11.9
2001/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,11.3
2001/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,10.92
2001/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,10.71
2001/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,10.77
